,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
BTC,Bitcoin,SHA-256,True,PoW,19700000,21000000
ETH,Ethereum,Beacon Chain,True,PoS,120300000,0
BNB,Binance Coin,BNB Chain,True,PoS,153856150,153856150
SOL,Solana,Proof-of-History,True,PoH,420000000,570000000
XRP,Ripple,RPCA,True,RPCA,54000000000,100000000000
ADA,Cardano,Ouroboros,True,PoS,35500000000,45000000000
AVAX,Avalanche,Avalanche Consensus,True,PoS,400000000,720000000
DOT,Polkadot,Nominated PoS,True,NPoS,1350000000,1630000000
MATIC,Polygon,PoS,True,PoS,9300000000,10000000000
LINK,Chainlink,Ethereum-based,True,PoS,558000000,1000000000
UNI,Uniswap,Ethereum-based,True,PoS,1000000000,1000000000
LTC,Litecoin,Scrypt,True,PoW,73500000,84000000
ATOM,Cosmos,Tendermint,True,PoS,349000000,0
XMR,Monero,RandomX,True,PoW,18400000,0
ETC,Ethereum Classic,Ethash,True,PoW,145000000,210700000
ARB,Arbitrum,Optimistic Rollup,True,L2-PoS,10000000000,10000000000
OP,Optimism,Optimistic Rollup,True,L2-PoS,4294967296,4294967296
FTM,Fantom,Lachesis,True,PoS,3175000000,3175000000
NEAR,NEAR Protocol,Nightshade,True,PoS,1080000000,1000000000
ALGO,Algorand,Pure PoS,True,PPoS,8450000000,10000000000
ICP,Internet Computer,Chain Key,True,PoS,510000000,469213710
APT,Aptos,AptosBFT,True,PoS,1030000000,1000000000
SUI,Sui,Narwhal & Tusk,True,PoS,10000000000,10000000000
FIL,Filecoin,Expected Consensus,True,PoREP,427000000,1970000000
AAVE,Aave,Ethereum-based,True,PoS,16000000,16000000
MKR,Maker,Ethereum-based,True,PoS,1000000,1000000
GRT,The Graph,Ethereum-based,True,PoS,9550000000,10000000000
SNX,Synthetix,Ethereum-based,True,PoS,314784000,314784000
CRV,Curve,Ethereum-based,True,PoS,1800000000,3030303031
COMP,Compound,Ethereum-based,True,PoS,10000000,10000000
FET,Fetch.ai,CosmWasm,True,PoS,1152997575,1152997575
AGIX,SingularityNET,Ethereum-based,True,PoS,1000000000,2000000000
OCEAN,Ocean Protocol,Ethereum-based,True,PoS,1410000000,1410000000
RNDR,Render,Ethereum-based,True,PoS,530962615,536870912
AKT,Akash Network,Tendermint,True,PoS,230000000,388539008
INJ,Injective,Tendermint,True,PoS,100000000,100000000
STX,Stacks,Proof of Transfer,True,PoX,1390000000,1818000000
